gender,age,education,major,regions,eservice_usage,device_skill_level,freq_used,connection_type,used_purpose,PC_OS,phone_OS,security_apps,secure_level,check_legitimacy,pass_my_info,clicking_on_banners,privacy_settings,SM_services_protect_info,terms_conditions,change_pass_frequently,feel_safe_public_Wi-Fi,no_value_to_hackers?,install_software_updates,careful_clicking_on_links,Internet_security,Internet_security_up_to_date,updated_about_CC_(offline Sources),updated_about_CC(_Online Sources),avoid_disclosing,risk_increased,not_secure,protected,Accept_surveillance,law_manage,informed_threat,phishing_emails,identity_theft,malware,unable_access_online,encountering_extremism,online_extortion,concerned_about_identity_theft,concerned_about_encountering_child_pornography,concerned_about_receiving_phishing_emails,concerned_about_not_being_able_to_access_online,concerned_about_encountering_religious_extremism_material_,opinion_about_online_extortion,future_feeling_CC,government_responsible,media_responsible,tele_responsible,user_responsible,education_responsible,government_role,victim,not_victim_would_like_to_report,new_major,new_ragions,updated_about_CC_(offline Sources)_2,updated_about_CC(_Online Sources)_2
Male,Early adulthood,Undergraduate,Engineering,Makkah,Frequently,Expert ,2,Private Wi-Fi,3,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Never,Always,Always,Sometimes,Often,Sometimes,Seldom,Sometimes,Always,Sometimes,1,Yes,"Newspapers, magazines, Posters, Government or professional reports","Internet, website, email bulletins, blogs, etc., Rely on automatic updates",Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Never,Never,Always,Never,Sometimes,Never,Do not know,Sometimes,Do not know,Do not know,Sometimes,Do not know,vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No role,No,"No, I would not",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,Undergraduate,Medicine or public health,Makkah,Frequently,Beginner,2,Public Wi-Fi,3,Windows,Android,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Very secure,Always,Always,Always,Often,Always,Often,Always,Always,Often,Always,Always,1,I don't know,"Newspapers, magazines, Posters","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Always,Always,Always,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,No role,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,Undergraduate,Engineering,Makkah,Frequently,Intermediate,2,Cellular network,2,Windows,IOS,"Anti-virus, Software update,Backup",Very secure,Always,Seldom,Always,Sometimes,Seldom,Always,Seldom,Sometimes,Seldom,Always,Always,2,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc.","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Always,Never,Do not know,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,vanish eventually,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,strict laws and punishments,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Adult,Undergraduate,Education,Makkah,Once a day,Intermediate,2,Private Wi-Fi,4,Windows,IOS,Software update,Neutral,Sometimes,Often,Often,Sometimes,Sometimes,Seldom,Seldom,Sometimes,Often,Often,Often,1,Yes,Government or professional reports,"Government websites (e.g. CERT),Internet service provider ISPs",Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Always,Do not know,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,No,No
Female,Mature adulthood,Undergraduate,Education,Eastern Province,Frequently,Intermediate,1,Private Wi-Fi,1,I don't know,Android,Software update,Very secure,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Always,Often,Often,1,Yes,I do not feel that I keep myself updated,"TV, news, radio",Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Do not know,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Always,vanish eventually,Agree,Strongly Agree,Neutral,Agree,Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Eastern Province,No,Yes
Male,Adult,Undergraduate,Law,Riyadh,Frequently,Intermediate,1,Private Wi-Fi,5,mac OS,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Sometimes,Often,Often,Always,Sometimes,Never,Never,Seldom,Often,Always,Often,0,No,"Professional activities: conferences, meetings, briefings, etc.","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Always,Do not know,Always,Always,Always,Always,Never,Never,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,global cyber security,Yes,"No, I would not",Not Technical,Central_Province,Yes,Yes
Male,Mature adulthood,Postgraduate,Environmental Sciences,Makkah,Frequently,Intermediate,2,Cellular network,5,Windows,IOS,Anti-virus,Not sure ,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,2,No,"Internet service provider ISPs, Government or professional reports","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,No,Yes
Female,Early adulthood,Undergraduate,Computer Science,Makkah,Frequently,Expert ,2,Private Wi-Fi,4,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update,Backup",Not sure ,Often,Often,Always,Always,Sometimes,Sometimes,Always,Seldom,Never,Always,Always,2,Yes,"Professional activities: conferences, meetings, briefings, etc., Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT), Rely on automatic updates",Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Always,Do not know,Always,Do not know,Always,Do not know,Always,Do not know,Always,Always,Always,Always,vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,monitor organisations,No,"Yes, I would",Technical,Western_Province,Yes,Yes
Female,Mature adulthood,Undergraduate,Education,Madina,Frequently,Beginner,1,Public Wi-Fi,1,I don't know,I don't know,"Authentication (e.g. password, PIN)",Not sure ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,Yes,I do not feel that I keep myself updated,"TV, news, radio, I do not feel that I keep myself updated",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,serious issue,Neutral,Neutral,Neutral,Neutral,Neutral,strict laws and punishments,No,"Yes, I would",Not Technical,Western_Province,No,Yes
Male,Early adulthood,Postgraduate,Environmental Science,Makkah,Frequently,Intermediate,1,Cellular network,3,Windows,IOS,"Authentication (e.g. password, PIN) , Software update",Very secure,Seldom,Never,Often,Often,Sometimes,Never,Never,Sometimes,Always,Often,Often,1,No,I do not feel that I keep myself updated,"TV, news, radio, I do not feel that I keep myself updated",Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Do not know,Do not know,Always,Do not know,Do not know,Do not know,Always,Sometimes,Always,Sometimes,Sometimes,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Western_Province,No,Yes
Female,Mature adulthood,Undergraduate,Education,Eastern Province,Frequently,Intermediate,1,Cellular network,1,Windows,Android,Anti-virus,Not secure,Always,Often,Often,Often,Often,Often,Always,Seldom,Often,Often,Always,1,Yes,Internet service provider ISPs,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Always,Do not know,Sometimes,Do not know,Do not know,Do not know,Always,Always,Always,Always,Sometimes,Sometimes,vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,strict laws and punishments,Yes,"No, I would not",Not Technical,Eastern Province,No,Yes
Female,Early adulthood,Undergraduate,Computer Science,Makkah,Frequently,Beginner,1,Private Wi-Fi,1,mac OS,IOS,"Anti-virus, Authentication (e.g. password, PIN)",Very secure,Often,Seldom,Always,Always,Seldom,Never,Seldom,Sometimes,Seldom,Always,Always,1,No,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Never,Never,Sometimes,Do not know,Never,Never,Always,Do not know,Do not know,Never,Always,Do not know,serious issue,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Don’t know,No,"Yes, I would",Technical,Western_Province,No,Yes
Female,Early adulthood,Undergraduate,Computer Science,Makkah,Frequently,Intermediate,1,Private Wi-Fi,1,Windows,IOS,Anti-virus,Very secure,Always,Never,Always,Always,Never,Always,Never,Never,Sometimes,Always,Always,2,Yes,"Professional activities: conferences, meetings, briefings, etc.","TV, news, radio, Government websites (e.g. CERT)",Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Never,Never,Never,Never,Never,Always,Do not know,Never,Never,Never,Never,vanish eventually,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Technical,Western_Province,Yes,Yes
Female,Early adulthood,High School,Physics,Makkah,Frequently,Beginner,1,Private Wi-Fi,4,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update",Not sure ,Often,Never,Often,Always,Always,Never,Never,Sometimes,Always,Seldom,Sometimes,1,No,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Always,Never,Do not know,Never,Do not know,Never,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don’t know,No,"Yes, I would",Not Technical,Western_Province,No,Yes
Female,Mature adulthood,Undergraduate,Social Science,Makkah,Frequently,Beginner,1,Private Wi-Fi,1,Windows,Android,Anti-virus,Not secure,Always,Sometimes,Sometimes,Sometimes,Always,Always,Often,Often,Sometimes,Always,Sometimes,1,Yes,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Never,Always,Always,Do not know,Do not know,Do not know,Always,Always,Sometimes,Sometimes,Sometimes,Always,Don't know,Neutral,Neutral,Neutral,Agree,Neutral,strict laws and punishments,No,"No, I would not",Not Technical,Western_Province,No,No
Female,Adult,Postgraduate,Social Science,Makkah,Frequently,Beginner,2,Private Wi-Fi,1,mac OS,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update",Very secure,Always,Often,Sometimes,Often,Sometimes,Never,Sometimes,Never,Seldom,Often,Always,0,No,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Always,Never,Always,Always,Never,Never,Always,Do not know,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,monitor organisations,Yes,"No, I would not",Not Technical,Western_Province,No,Yes
Male,Early adulthood,High School,Engineering,Makkah,Frequently,Beginner,1,Cellular network,1,I don't know,IOS,Backup,Very secure,Always,Sometimes,Always,Often,Often,Always,Seldom,Seldom,Sometimes,Often,Always,2,Yes,"Professional activities: conferences, meetings, briefings, etc.","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Sometimes,Do not know,Do not know,Always,Never,Sometimes,Always,Always,Always,serious issue,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,Undergraduate,Engineering,Riyadh,Frequently,Expert ,1,Cellular network,1,Windows,IOS,Anti-virus,Very secure,Sometimes,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,2,Yes,Internet service provider ISPs,Government websites (e.g. CERT),Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Sometimes,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Always,Sometimes,Always,Sometimes,Always,serious issue,Agree,Agree,Agree,Agree,Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Central_Province,No,No
Male,Adult,Undergraduate,Education,Makkah,Once a day,Beginner,1,Cellular network,4,Windows,Android,None,Neutral,Often,Seldom,Always,Sometimes,Sometimes,Seldom,Seldom,Sometimes,Often,Often,Often,1,No,"Newspapers, magazines, Posters, Government or professional reports","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT), Rely on automatic updates",Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,Never,Never,Never,Never,Never,Never,Never,Do not know,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Female,Early adulthood,High School,Physics,Makkah,Frequently,Beginner,1,Private Wi-Fi,4,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update",Not sure ,Often,Never,Often,Always,Always,Never,Never,Sometimes,Always,Seldom,Sometimes,1,No,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Always,Never,Do not know,Never,Do not know,Never,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don’t know,No,"Yes, I would",Not Technical,Western_Province,No,Yes
Male,Early adulthood,High School,Engineering,Makkah,Frequently,Intermediate,1,Cellular network,6,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) ,Backup",Very secure,Often,Always,Often,Always,Always,Sometimes,Seldom,Seldom,Always,Always,Sometimes,1,No,"Newspapers, magazines, Posters, Government or professional reports","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Disagree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Sometimes,Never,Sometimes,Do not know,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Always,vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,monitor organisations,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,Undergraduate,Information Technology,Makkah,Frequently,Intermediate,2,Private Wi-Fi,3,Windows,IOS,"Authentication (e.g. password, PIN)",Very secure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,1,Yes,"Newspapers, magazines, Posters","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,strict laws and punishments,No,"Yes, I would",Technical,Western_Province,Yes,Yes
Male,Mature adulthood,Undergraduate,Chemsitry,Makkah,Frequently,Intermediate,2,Private Wi-Fi,5,Windows,IOS,"Firewall, Authentication (e.g. password, PIN) ,Backup",Very secure,Always,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Always,Always,2,Yes,"Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT), Rely on automatic updates",Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Agree,Do not know,Do not know,Sometimes,Do not know,Do not know,Do not know,Always,Do not know,Sometimes,Always,Always,Sometimes,serious issue,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,High School,Medicine or public health,Makkah,Frequently,Beginner,1,Public Wi-Fi,1,Windows,Android,Anti-virus,Very secure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,1,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc.","TV, news, radio",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No role,Yes,"No, I would not",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,Undergraduate,Medicine or public health,Makkah,Frequently,Beginner,3,Public Wi-Fi,6,Windows,IOS,"Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Never,Always,Sometimes,Often,Seldom,Never,Sometimes,Always,Seldom,Always,1,No,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Always,Never,Sometimes,Never,Sometimes,Never,Do not know,Always,Never,Do not know,Never,Do not know,serious issue,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,public awareness,No,"Yes, I would",Not Technical,Western_Province,No,No
Male,Early adulthood,Undergraduate,Computer Science,Makkah,Frequently,Intermediate,2,Cellular network,5,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Sometimes,Never,Always,Always,Sometimes,Seldom,Always,Never,Always,Always,Always,1,Yes,"Newspapers, magazines, Posters, Government or professional reports","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Always,Sometimes,Never,Never,Do not know,Do not know,Always,Always,Sometimes,Never,Always,Always,serious issue,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,global cyber security,No,"Yes, I would",Technical,Western_Province,Yes,Yes
Female,Early adulthood,Undergraduate,Computer Science,Asir,Once a day,Beginner,2,Cellular network,3,Windows,IOS,"Anti-virus, Firewall",Very secure,Often,Often,Often,Always,Often,Often,Often,Sometimes,Seldom,Often,Often,2,I don't know,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs",Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Never,Never,Always,Do not know,Sometimes,Do not know,Always,Always,Sometimes,Sometimes,Always,Always,serious issue,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,public awareness,No,"No, I would not",Technical,Southern_Province,Yes,Yes
Male,Mature adulthood,Undergraduate,Social Science,Eastern Province,Frequently,Intermediate,4,Private Wi-Fi,5,Windows,Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) ,Backup",Very secure,Always,Always,Always,Always,Sometimes,Always,Often,Always,Sometimes,Sometimes,Often,3,Yes,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Do not know,Do not know,Always,Do not know,Do not know,Do not know,Always,Always,Always,Always,Always,Always,serious issue,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Eastern Province,No,Yes
Male,Early adulthood,Undergraduate,Automotaive Mechanics,Asir,Frequently,Intermediate,1,Cellular network,3,I don't know,Android,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Very secure,Sometimes,Always,Always,Always,Sometimes,Always,Sometimes,Never,Never,Always,Always,1,Yes,"Newspapers, magazines, Posters","TV, news, radio",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Never,Never,Never,Never,Always,Never,Do not know,Do not know,Always,Do not know,Do not know,Do not know,serious issue,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,public awareness,No,"Yes, I would",Not Technical,Southern_Province,Yes,Yes
Male,Adult,Undergraduate,Computer Science,Makkah,Frequently,Expert ,3,Private Wi-Fi,5,Windows,Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Always,Seldom,Always,Always,Never,Often,Always,Never,Sometimes,Always,Always,3,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs","Internet, website, email bulletins, blogs, etc., Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Always,Never,Sometimes,Do not know,Always,Never,Never,Always,Always,Always,Never,Never,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,global cyber security,Yes,"No, I would not",Technical,Western_Province,Yes,Yes
Male,Mature adulthood,Undergraduate,Education,Makkah,Frequently,Intermediate,3,Private Wi-Fi,5,Windows,Android,"Anti-virus, Firewall, Encryption,Backup",Very secure,Always,Always,Always,Always,Always,Often,Often,Often,Sometimes,Seldom,Sometimes,1,No,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Do not know,Do not know,Do not know,Do not know,Sometimes,Do not know,Never,Never,Always,Always,Always,Always,vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,No,No
Male,Early adulthood,Undergraduate,Education,Makkah,Frequently,Intermediate,3,Private Wi-Fi,5,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Very secure,Sometimes,Sometimes,Sometimes,Often,Sometimes,Seldom,Always,Seldom,Seldom,Sometimes,Seldom,1,Yes,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Don’t know,No,"No, I would not",Not Technical,Western_Province,No,No
Female,Early adulthood,High School,Medicine or public health,Tabuk,Frequently,Intermediate,1,Private Wi-Fi,5,I don't know,IOS,"Authentication (e.g. password, PIN) ,Backup",Not sure ,Seldom,Sometimes,Often,Always,Sometimes,Never,Never,Never,Never,Seldom,Seldom,0,I don't know,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc., I do not feel that I keep myself updated",Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Sometimes,Do not know,Do not know,Sometimes,Do not know,Do not know,Always,Never,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,global cyber security,No,"Yes, I would",Not Technical,Northern_Province,No,Yes
Male,Adult,Undergraduate,Computer Science,Makkah,Frequently,Expert ,2,Private Wi-Fi,5,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Always,Always,Always,Often,Always,Often,Always,Always,Always,Always,Always,4,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs, Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,public awareness,Yes,"No, I would not",Technical,Western_Province,Yes,Yes
Male,Mature adulthood,High School,Engineering,Aljawf,Frequently,Beginner,1,Public Wi-Fi,2,I don't know,I don't know,None,Not sure ,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Often,0,I don't know,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Don't know,Neutral,Neutral,Neutral,Neutral,Neutral,public awareness,No,"Yes, I would",Not Technical,Northern_Province,No,No
Female,Adult,Postgraduate,Statics,Makkah,Frequently,Intermediate,3,Private Wi-Fi,5,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Often,Never,Always,Often,Seldom,Seldom,Seldom,Seldom,Often,Always,Always,1,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc.","Internet, website, email bulletins, blogs, etc., Rely on automatic updates",Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Always,Do not know,Do not know,Do not know,Do not know,Do not know,Never,Always,Never,Never,Never,Never,serious issue,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Female,Early adulthood,Undergraduate,Economic,Makkah,Frequently,Intermediate,1,Private Wi-Fi,5,Windows,IOS,"Authentication (e.g. password, PIN) , Software update",Very secure,Often,Often,Always,Always,Often,Seldom,Seldom,Seldom,Often,Often,Always,0,No,Internet service provider ISPs,"Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Always,Do not know,Sometimes,Sometimes,Do not know,Do not know,Never,Never,Never,Never,Never,Never,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,public awareness,Yes,"No, I would not",Not Technical,Western_Province,No,Yes
Male,Mature adulthood,Undergraduate,Education,Madina,Frequently,Intermediate,4,Private Wi-Fi,4,Windows,IOS,"Anti-virus, Firewall, Software update,Backup",Very secure,Always,Always,Always,Always,Always,Often,Always,Always,Always,Always,Always,2,Yes,Government or professional reports,"Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,No,Yes
Male,Mature adulthood,Undergraduate,Social Science,Qassim,Once a day,Beginner,1,Private Wi-Fi,4,I don't know,Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Often,Always,Sometimes,Seldom,Seldom,Seldom,Sometimes,Sometimes,Often,Often,1,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs","TV, news, radio",Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Do not know,Never,Never,Never,Never,Never,Always,Do not know,Always,Never,Never,Sometimes,vanish eventually,Agree,Strongly Agree,Strongly Agree,Agree,Agree,global cyber security,No,"Yes, I would",Not Technical,Central_Province,Yes,Yes
